Package, version,Depends
adduser,        3.113+nmu3ubuntu3,      "perl-base (>= 5.6.0), passwd (>= 1:4.0.12), debconf | debconf-2.0"
apt,    1.0.1ubuntu2.14,        "libapt-pkg4.12 (>= 0.9.16), libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), ubuntu-keyring, gnupg"
apt-transport-https,    1.0.1ubuntu2.15,        "libapt-pkg4.12 (>= 0.8.16~exp9), libc6 (>= 2.14), libcurl3-gnutls (>= 7.16.2), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)"
apt-utils,      1.0.1ubuntu2.14,        "libapt-inst1.5 (>= 0.9.15.4), libapt-pkg4.12 (>= 0.9.16), libc6 (>= 2.14), libdb5.3, libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)"
aspell, 0.60.7~20110707-1ubuntu1,       "libaspell15 (= 0.60.7~20110707-1ubuntu1), libc6 (>= 2.14), libncursesw5 (>= 5.6+20070908), libstdc++6 (>= 4.1.1), libtinfo5, dictionaries-common (>> 0.40)"
aspell-en,      7.1-0-1,        "aspell (>= 0.60.3-2), dictionaries-common (>= 0.49.2)"
base-files,     7.2ubuntu5.5,   ""
base-passwd,    3.5.33, "libc6 (>= 2.8), libdebconfclient0 (>= 0.145)"
bash,   4.3-7ubuntu1.5, "base-files (>= 2.1.12), debianutils (>= 2.15)"
bc,     1.06.95-8ubuntu1,       "libc6 (>= 2.14), libreadline6 (>= 6.0)"
binutils,       2.24-5ubuntu14.1,       "libc6 (>= 2.14), zlib1g (>= 1:1.2.0)"
bsdutils,       1:2.20.1-5.1ubuntu20.7, "libc6 (>= 2.7)"
busybox-initramfs,      1:1.21.0-1ubuntu1,      "libc6 (>= 2.14)"
bzip2,  1.0.6-5,        "libbz2-1.0 (= 1.0.6-5), libc6 (>= 2.4)"
ca-certificates,        20160104ubuntu0.14.04.1,        "openssl (>= 1.0.0), debconf (>= 0.5) | debconf-2.0"
console-setup,  1.70ubuntu8,    "debconf (>= 1.5.34), xkb-data (>= 0.9), keyboard-configuration, initramfs-tools (>= 0.85eubuntu12), kbd (>= 1.15-1ubuntu3)"
coreutils,      8.21-1ubuntu5.4,        ""
cpio,   2.11+dfsg-1ubuntu1.2,   "libc6 (>= 2.17)"
cpp,    4:4.8.2-1ubuntu6,       "cpp-4.8 (>= 4.8.2-5~)"
