Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2011-2907,CVE-2011-2907,CVE-2011-5325,CVE-2011-5325,#N/A,2,499,206,109,814,86.60933661,74.69287469
CVE-2011-5325,CVE-2011-5325,CVE-2012-0039,CVE-2012-0039,1,3,,,,,,
CVE-2012-0039,CVE-2012-0039,CVE-2012-1093,CVE-2012-1093,2,4,,,,,,
CVE-2012-0039,CVE-2012-1093,CVE-2013-0157,CVE-2013-0157,3,5,,,,,,
CVE-2012-1093,CVE-2013-0157,CVE-2013-4235,CVE-2013-4235,4,6,,,,,,
CVE-2013-0157,CVE-2013-4235,CVE-2013-4289,CVE-2013-4289,5,7,,,,,,
CVE-2013-0157,CVE-2013-4289,CVE-2013-4290,CVE-2013-4290,6,8,,,,,,
CVE-2013-0157,CVE-2013-4290,CVE-2013-6053,CVE-2013-6053,7,9,,,,,,
CVE-2013-0157,CVE-2013-6053,CVE-2013-6887,CVE-2013-6887,8,10,,,,,,
CVE-2013-0157,CVE-2013-6887,CVE-2014-0749,CVE-2014-0749,9,17,,,,,,
CVE-2013-4235,CVE-2013-7377,CVE-2014-2893,CVE-2014-2893,#N/A,21,,,,,,
CVE-2013-4235,CVE-2013-7378,CVE-2014-3684,CVE-2014-3684,#N/A,#N/A,,,,,,
CVE-2013-4289,CVE-2013-7380,CVE-2014-5044,CVE-2014-5044,#N/A,26,,,,,,
CVE-2013-4290,CVE-2013-7381,CVE-2014-7945,CVE-2014-7945,#N/A,28,,,,,,
CVE-2013-6053,CVE-2013-7445,CVE-2014-7947,CVE-2014-7947,#N/A,29,,,,,,
CVE-2013-6887,CVE-2014-0177,CVE-2014-8541,CVE-2014-8541,#N/A,30,,,,,,
CVE-2013-7377,CVE-2014-0749,CVE-2014-8625,CVE-2014-8625,10,31,,,,,,
CVE-2013-7378,CVE-2014-1829,CVE-2014-9092,CVE-2014-9092,#N/A,33,,,,,,
CVE-2013-7380,CVE-2014-1830,CVE-2014-9114,CVE-2014-9114,#N/A,34,,,,,,
CVE-2013-7381,CVE-2014-2667,CVE-2014-9474,CVE-2014-9474,#N/A,35,,,,,,
CVE-2013-7445,CVE-2014-2893,CVE-2014-9620,CVE-2014-9620,11,#N/A,,,,,,
CVE-2014-0177,CVE-2014-3741,CVE-2014-9621,CVE-2014-9621,#N/A,#N/A,,,,,,
CVE-2014-0749,CVE-2014-3743,CVE-2014-9645,CVE-2014-9645,#N/A,36,,,,,,
CVE-2014-1829,CVE-2014-3744,CVE-2014-9653,CVE-2014-9653,#N/A,#N/A,,,,,,
CVE-2014-1830,CVE-2014-4610,CVE-2014-9676,CVE-2014-9676,#N/A,37,,,,,,
CVE-2014-2667,CVE-2014-5044,CVE-2014-9761,CVE-2014-9761,13,38,,,,,,
CVE-2014-2667,CVE-2014-7933,CVE-2014-9939,CVE-2014-9939,#N/A,39,,,,,,
CVE-2014-2667,CVE-2014-7945,CVE-2014-9984,CVE-2014-9984,14,40,,,,,,
CVE-2014-2667,CVE-2014-7947,CVE-2015-1273,CVE-2015-1273,15,41,,,,,,
CVE-2014-2667,CVE-2014-8541,CVE-2015-2305,CVE-2015-2305,16,#N/A,,,,,,
CVE-2014-2667,CVE-2014-8625,CVE-2015-3395,CVE-2015-3395,17,46,,,,,,
CVE-2014-2667,CVE-2014-8991,CVE-2015-3417,CVE-2015-3417,#N/A,47,,,,,,
CVE-2014-2893,CVE-2014-9092,CVE-2015-5180,CVE-2015-5180,18,48,,,,,,
CVE-2014-3741,CVE-2014-9114,CVE-2015-5186,CVE-2015-5186,19,49,,,,,,
CVE-2014-3743,CVE-2014-9474,CVE-2015-5203,CVE-2015-5203,20,50,,,,,,
CVE-2014-3744,CVE-2014-9645,CVE-2015-5221,CVE-2015-5221,23,51,,,,,,
CVE-2014-4610,CVE-2014-9676,CVE-2015-5276,CVE-2015-5276,25,52,,,,,,
CVE-2014-4610,CVE-2014-9761,CVE-2015-5297,CVE-2015-5297,26,#N/A,,,,,,
CVE-2014-4610,CVE-2014-9939,CVE-2015-5479,CVE-2015-5479,27,54,,,,,,
CVE-2014-4610,CVE-2014-9984,CVE-2015-5602,CVE-2015-5602,28,55,,,,,,
CVE-2014-5044,CVE-2015-1273,CVE-2015-7313,CVE-2015-7313,29,58,,,,,,
CVE-2014-5044,CVE-2015-1350,CVE-2015-7995,CVE-2015-7995,#N/A,60,,,,,,
CVE-2014-5044,CVE-2015-1872,CVE-2015-8239,CVE-2015-8239,#N/A,61,,,,,,
CVE-2014-5044,CVE-2015-2296,CVE-2015-8270,CVE-2015-8270,#N/A,62,,,,,,
CVE-2014-5044,CVE-2015-2877,CVE-2015-8271,CVE-2015-8271,#N/A,63,,,,,,
CVE-2014-5044,CVE-2015-3395,CVE-2015-8272,CVE-2015-8272,31,64,,,,,,
CVE-2014-5044,CVE-2015-3417,CVE-2015-8629,CVE-2015-8629,32,66,,,,,,
CVE-2014-5044,CVE-2015-5180,CVE-2015-8630,CVE-2015-8630,33,67,,,,,,
CVE-2014-5044,CVE-2015-5186,CVE-2015-8631,CVE-2015-8631,34,68,,,,,,
