Anchore Raw,Anchore Unique,Anchore Translation,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2014-1858,CVE-2014-1858,CVE-2014-1858,CVE-2012-6702,CVE-2012-6702,11,#N/A,63,45,326,434,7.603686636,89.63133641
RHSA-2017:0372,RHSA-2017:0372,CVE-2014-9402,CVE-2013-0340,CVE-2013-0340,29,#N/A,,,,,,
RHSA-2018:0666,RHSA-2018:0666,CVE-2015-5180,CVE-2013-0341,CVE-2013-0341,55,#N/A,,,,,,
RHSA-2018:0666,RHSA-2018:0805,CVE-2015-8830,CVE-2013-1664,CVE-2013-1664,#N/A,#N/A,,,,,,
RHSA-2018:0666,RHSA-2018:0849,CVE-2015-9262,CVE-2013-1665,CVE-2013-1665,80,#N/A,,,,,,
RHSA-2018:0666,RHSA-2018:0980,CVE-2016-2183,CVE-2013-4392,CVE-2013-4392,92,#N/A,,,,,,
RHSA-2018:0666,RHSA-2018:0998,CVE-2016-3672,CVE-2013-7040,CVE-2013-7040,#N/A,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1062,CVE-2016-4913,CVE-2013-7353,CVE-2013-7353,#N/A,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1318,CVE-2016-5195,CVE-2013-7354,CVE-2013-7354,113,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1629,CVE-2016-7039,CVE-2013-7422,CVE-2013-7422,125,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1700,CVE-2016-7913,CVE-2014-1858,CVE-2014-1858,#N/A,1,,,,,,
RHSA-2018:0805,RHSA-2018:1852,CVE-2016-8633,CVE-2014-1859,CVE-2014-1859,#N/A,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1957,CVE-2016-8666,CVE-2014-2532,CVE-2014-2532,143,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:1965,CVE-2017-0861,CVE-2014-3477,CVE-2014-3477,#N/A,#N/A,,,,,,
RHSA-2018:0805,RHSA-2018:2123,CVE-2017-10661,CVE-2014-3532,CVE-2014-3532,#N/A,#N/A,,,,,,
RHSA-2018:0849,RHSA-2018:2181,CVE-2017-11368,CVE-2014-3533,CVE-2014-3533,162,#N/A,,,,,,
RHSA-2018:0849,RHSA-2018:2285,CVE-2017-11600,CVE-2014-3564,CVE-2014-3564,#N/A,#N/A,,,,,,
RHSA-2018:0849,RHSA-2018:2384,CVE-2017-11671,CVE-2014-3591,CVE-2014-3591,163,#N/A,,,,,,
RHSA-2018:0849,RHSA-2018:2570,CVE-2017-12132,CVE-2014-3635,CVE-2014-3635,164,#N/A,,,,,,
RHSA-2018:0849,RHSA-2018:2748,CVE-2017-12154,CVE-2014-3636,CVE-2014-3636,#N/A,#N/A,,,,,,
RHSA-2018:0980,RHSA-2018:2768,CVE-2017-12190,CVE-2014-3637,CVE-2014-3637,#N/A,#N/A,,,,,,
RHSA-2018:0980,RHSA-2018:3032,CVE-2017-13166,CVE-2014-3638,CVE-2014-3638,#N/A,#N/A,,,,,,
RHSA-2018:0998,RHSA-2018:3041,CVE-2017-13215,CVE-2014-3639,CVE-2014-3639,#N/A,#N/A,,,,,,
RHSA-2018:0998,RHSA-2018:3052,CVE-2017-13305,CVE-2014-4043,CVE-2014-4043,#N/A,#N/A,,,,,,
RHSA-2018:0998,RHSA-2018:3059,CVE-2017-14140,CVE-2014-4617,CVE-2014-4617,#N/A,#N/A,,,,,,
RHSA-2018:0998,RHSA-2018:3071,CVE-2017-15116,CVE-2014-5270,CVE-2014-5270,#N/A,#N/A,,,,,,
RHSA-2018:1062,RHSA-2018:3083,CVE-2017-15121,CVE-2014-5461,CVE-2014-5461,#N/A,#N/A,,,,,,
RHSA-2018:1318,RHSA-2018:3092,CVE-2017-15126,CVE-2014-9114,CVE-2014-9114,#N/A,#N/A,,,,,,
RHSA-2018:1629,RHSA-2018:3140,CVE-2017-15670,CVE-2014-9402,CVE-2014-9402,215,2,,,,,,
RHSA-2018:1700,RHSA-2018:3157,CVE-2017-15804,CVE-2014-9471,CVE-2014-9471,217,#N/A,,,,,,
RHSA-2018:1852,RHSA-2018:3221,CVE-2017-15906,CVE-2014-9488,CVE-2014-9488,218,#N/A,,,,,,
RHSA-2018:1852,RHSA-2018:3249,CVE-2017-16939,CVE-2014-9512,CVE-2014-9512,#N/A,#N/A,,,,,,
RHSA-2018:1957,RHSA-2018:3408,CVE-2017-16997,CVE-2014-9745,CVE-2014-9745,234,#N/A,,,,,,
RHSA-2018:1957,,CVE-2017-17805,CVE-2014-9746,CVE-2014-9746,#N/A,#N/A,,,,,,
RHSA-2018:1965,,CVE-2017-18208,CVE-2014-9747,CVE-2014-9747,#N/A,#N/A,,,,,,
RHSA-2018:2123,,CVE-2017-18232,CVE-2014-9913,CVE-2014-9913,#N/A,#N/A,,,,,,
