Anchore Raw,Anchore Unique,Anchore Translation,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
RHSA-2018:3032,RHSA-2018:3032,CVE-2017-16997,CVE-2016-5131,CVE-2016-5131,8,#N/A,36,0,278,314,2.547770701,100
RHSA-2018:3041,RHSA-2018:3041,CVE-2017-18267,CVE-2017-15412,CVE-2017-15412,75,#N/A,,,,,,
RHSA-2018:3041,RHSA-2018:3071,CVE-2017-3735,CVE-2017-5130,CVE-2017-5130,66,#N/A,,,,,,
RHSA-2018:3071,RHSA-2018:3092,CVE-2018-0495,CVE-2016-2779,CVE-2016-2779,76,#N/A,,,,,,
RHSA-2018:3092,RHSA-2018:3140,CVE-2018-0732,CVE-2016-2781,CVE-2016-2781,124,#N/A,,,,,,
RHSA-2018:3092,RHSA-2018:3157,CVE-2018-0737,CVE-2017-0663,CVE-2017-0663,266,#N/A,,,,,,
RHSA-2018:3140,RHSA-2018:3221,CVE-2018-0739,CVE-2017-1000158,CVE-2017-1000158,37,#N/A,,,,,,
RHSA-2018:3140,RHSA-2018:3249,CVE-2018-1000007,CVE-2017-16997,CVE-2017-16997,125,1,,,,,,
RHSA-2018:3157,,CVE-2018-1000120,CVE-2017-6891,CVE-2017-6891,51,#N/A,,,,,,
RHSA-2018:3157,,CVE-2018-1000121,CVE-2018-11236,CVE-2018-11236,67,23,,,,,,
RHSA-2018:3157,,CVE-2018-1000122,CVE-2017-16931,CVE-2017-16931,38,#N/A,,,,,,
RHSA-2018:3221,,CVE-2018-1000301,CVE-2017-16932,CVE-2017-16932,52,#N/A,,,,,,
RHSA-2018:3249,,CVE-2018-10372,CVE-2017-6004,CVE-2017-6004,267,#N/A,,,,,,
,,CVE-2018-10373,CVE-2017-7186,CVE-2017-7186,268,#N/A,,,,,,
,,CVE-2018-10534,CVE-2017-8804,CVE-2017-8804,282,#N/A,,,,,,
,,CVE-2018-10535,CVE-2017-9047,CVE-2017-9047,283,#N/A,,,,,,
,,CVE-2018-1060,CVE-2018-6003,CVE-2018-6003,126,#N/A,,,,,,
,,CVE-2018-1061,CVE-2017-7500,CVE-2017-7500,39,#N/A,,,,,,
,,CVE-2018-10733,CVE-2017-7501,CVE-2017-7501,269,#N/A,,,,,,
,,CVE-2018-10767,CVE-2018-1122,CVE-2018-1122,270,#N/A,,,,,,
,,CVE-2018-10768,CVE-2016-4484,CVE-2016-4484,271,#N/A,,,,,,
,,CVE-2018-1113,CVE-2017-10685,CVE-2017-10685,85,#N/A,,,,,,
,,CVE-2018-11236,CVE-2017-6965,CVE-2017-6965,10,#N/A,,,,,,
,,CVE-2018-11237,CVE-2017-6966,CVE-2017-6966,48,#N/A,,,,,,
,,CVE-2018-12910,CVE-2015-2716,CVE-2015-2716,68,#N/A,,,,,,
,,CVE-2018-13033,CVE-2015-8385,CVE-2015-8385,284,#N/A,,,,,,
,,CVE-2018-13988,CVE-2016-1951,CVE-2016-1951,69,#N/A,,,,,,
,,CVE-2018-5729,CVE-2016-2226,CVE-2016-2226,88,#N/A,,,,,,
,,CVE-2018-5730,CVE-2016-3191,CVE-2016-3191,133,#N/A,,,,,,
,,CVE-2018-6485,CVE-2016-9318,CVE-2016-9318,70,#N/A,,,,,,
,,CVE-2018-7208,CVE-2017-18078,CVE-2017-18078,275,#N/A,,,,,,
,,CVE-2018-7568,CVE-2017-7000,CVE-2017-7000,276,#N/A,,,,,,
,,CVE-2018-7569,CVE-2017-7375,CVE-2017-7375,277,#N/A,,,,,,
,,CVE-2018-7642,CVE-2017-9049,CVE-2017-9049,278,#N/A,,,,,,
,,CVE-2018-7643,CVE-2017-9050,CVE-2017-9050,279,#N/A,,,,,,
,,CVE-2018-8945,CVE-2017-9233,CVE-2017-9233,280,#N/A,,,,,,
,,,CVE-2018-0739,CVE-2018-0739,,7,,,,,,
,,,CVE-2018-1000122,CVE-2018-1000122,,11,,,,,,
,,,CVE-2018-1061,CVE-2018-1061,,18,,,,,,
,,,CVE-2014-9114,CVE-2014-9114,,#N/A,,,,,,
,,,CVE-2017-7526,CVE-2017-7526,,#N/A,,,,,,
,,,CVE-2017-7781,CVE-2017-7781,,#N/A,,,,,,
,,,CVE-2016-4489,CVE-2016-4489,,#N/A,,,,,,
,,,CVE-2016-4490,CVE-2016-4490,,#N/A,,,,,,
,,,CVE-2016-9574,CVE-2016-9574,,#N/A,,,,,,
,,,CVE-2016-9586,CVE-2016-9586,,#N/A,,,,,,
,,,CVE-2013-1665,CVE-2013-1665,,#N/A,,,,,,
,,,CVE-2018-11237,CVE-2018-11237,,24,,,,,,
,,,CVE-2017-5969,CVE-2017-5969,,#N/A,,,,,,
,,,CVE-2017-8872,CVE-2017-8872,,#N/A,,,,,,
,,,CVE-2018-1000120,CVE-2018-1000120,,9,,,,,,
,,,CVE-2018-1000301,CVE-2018-1000301,,12,,,,,,
,,,CVE-2016-4487,CVE-2016-4487,,#N/A,,,,,,
,,,CVE-2016-4488,CVE-2016-4488,,#N/A,,,,,,
,,,CVE-2016-4492,CVE-2016-4492,,#N/A,,,,,,
,,,CVE-2016-4493,CVE-2016-4493,,#N/A,,,,,,
,,,CVE-2016-4658,CVE-2016-4658,,#N/A,,,,,,
,,,CVE-2016-6252,CVE-2016-6252,,#N/A,,,,,,
,,,CVE-2016-8615,CVE-2016-8615,,#N/A,,,,,,
,,,CVE-2016-8618,CVE-2016-8618,,#N/A,,,,,,
,,,CVE-2016-8619,CVE-2016-8619,,#N/A,,,,,,
,,,CVE-2016-8621,CVE-2016-8621,,#N/A,,,,,,
,,,CVE-2016-8624,CVE-2016-8624,,#N/A,,,,,,
,,,CVE-2016-8625,CVE-2016-8625,,#N/A,,,,,,
,,,CVE-2017-10684,CVE-2017-10684,,#N/A,,,,,,
,,,CVE-2017-3735,CVE-2017-3735,,3,,,,,,
,,,CVE-2018-1000121,CVE-2018-1000121,,10,,,,,,
