Anchore Raw,Anchore Unique,Anchore Translation,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2014-1858,CVE-2014-1858,CVE-2014-9365,CVE-2012-6702,CVE-2012-6702,25,#N/A,128,1,281,410,12.92682927,99.75609756
RHSA-2016:1292,RHSA-2016:1292,CVE-2014-9402,CVE-2013-0340,CVE-2013-0340,26,#N/A,,,,,,
RHSA-2016:1626,RHSA-2016:1626,CVE-2014-9761,CVE-2013-0341,CVE-2013-0341,28,#N/A,,,,,,
RHSA-2016:1626,RHSA-2016:1940,CVE-2015-2806,CVE-2013-1664,CVE-2013-1664,41,#N/A,,,,,,
RHSA-2016:1626,RHSA-2016:1944,CVE-2015-3622,CVE-2013-1665,CVE-2013-1665,45,#N/A,,,,,,
RHSA-2016:1940,RHSA-2016:2573,CVE-2015-5180,CVE-2013-4392,CVE-2013-4392,49,#N/A,,,,,,
RHSA-2016:1944,RHSA-2016:2575,CVE-2015-8776,CVE-2013-7040,CVE-2013-7040,64,#N/A,,,,,,
RHSA-2016:2573,RHSA-2016:2586,CVE-2015-8777,CVE-2014-1858,CVE-2014-1858,65,#N/A,,,,,,
RHSA-2016:2573,RHSA-2016:2591,CVE-2015-8778,CVE-2014-1859,CVE-2014-1859,66,#N/A,,,,,,
RHSA-2016:2575,RHSA-2016:2605,CVE-2015-8779,CVE-2014-3477,CVE-2014-3477,67,#N/A,,,,,,
RHSA-2016:2575,RHSA-2016:2610,CVE-2016-0634,CVE-2014-3532,CVE-2014-3532,74,#N/A,,,,,,
RHSA-2016:2586,RHSA-2016:2615,CVE-2016-0718,CVE-2014-3533,CVE-2014-3533,75,#N/A,,,,,,
RHSA-2016:2586,RHSA-2016:2674,CVE-2016-0772,CVE-2014-3564,CVE-2014-3564,77,#N/A,,,,,,
RHSA-2016:2586,RHSA-2016:2779,CVE-2016-1000110,CVE-2014-3591,CVE-2014-3591,78,#N/A,,,,,,
