Ubuntu 18.04 Image with ping installed

ubuntu_ping@172-17-0-1 (ubuntu18.04) on 172-17-0-1
==================================================
Total: 37 (High:0 Medium:8 Low:13 ?:16), 0/37 Fixed, 94 installed, 4 cves with exploit

+------------------+------+----------+---------+---------------------------------------------------+---------+
|      CVE-ID      | CVSS |  ATTACK  |  FIXED  |                        NVD                        | EXPLOIT |
+------------------+------+----------+---------+---------------------------------------------------+---------+
| CVE-2017-17426   |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17426   | false   |
| CVE-2017-8804    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8804    | false   |
| CVE-2018-15686   |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-15686   | true    |
| CVE-2018-15687   |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-15687   | true    |
| CVE-2018-15688   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2018-15688   | false   |
| CVE-2018-6485    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6485    | false   |
| CVE-2018-6551    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6551    | false   |
| CVE-2018-6954    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6954    | false   |
| CVE-2013-4235    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-4235    | false   |
| CVE-2015-5180    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5180    | false   |
| CVE-2015-8985    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-8985    | false   |
| CVE-2016-2779    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2779    | false   |
| CVE-2016-2781    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2781    | false   |
| CVE-2016-3189    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-3189    | false   |
| CVE-2016-5011    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-5011    | false   |
| CVE-2017-1000408 |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000408 | true    |
| CVE-2017-1000409 |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000409 | true    |
| CVE-2017-15670   |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15670   | false   |
| CVE-2017-15804   |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15804   | false   |
| CVE-2017-16997   |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16997   | false   |
| CVE-2018-7169    |  3.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7169    | false   |
| CVE-2016-10228   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-10228   | false   |
| CVE-2017-10684   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10684   | false   |
| CVE-2017-10685   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10685   | false   |
| CVE-2017-11112   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11112   | false   |
| CVE-2017-11113   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11113   | false   |
| CVE-2017-13728   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13728   | false   |
| CVE-2017-13729   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13729   | false   |
| CVE-2017-13730   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13730   | false   |
| CVE-2017-13731   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13731   | false   |
| CVE-2017-13732   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13732   | false   |
| CVE-2017-13733   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13733   | false   |
| CVE-2017-13734   |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13734   | false   |
| CVE-2017-7245    |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7245    | false   |
| CVE-2017-7246    |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7246    | false   |
| CVE-2017-8283    |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8283    | false   |
| CVE-2018-1000654 |  0.0 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000654 | false   |
+------------------+------+----------+---------+---------------------------------------------------+---------+
