Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2011-2907,CVE-2011-2907,CVE-2011-5325,CVE-2011-5325,#N/A,2,601,278,112,991,88.69828456,71.94752775
CVE-2011-5325,CVE-2011-5325,CVE-2012-0039,CVE-2012-0039,1,3,601,,,,,
CVE-2012-0039,CVE-2012-0039,CVE-2012-1093,CVE-2012-1093,2,4,,,,,,
CVE-2012-0039,CVE-2012-1093,CVE-2013-0157,CVE-2013-0157,3,5,,,,,,
CVE-2012-1093,CVE-2013-0157,CVE-2013-1424,CVE-2013-1424,4,6,,,,,,
CVE-2013-0157,CVE-2013-1424,CVE-2013-4235,CVE-2013-4235,5,7,,,,,,
CVE-2013-0157,CVE-2013-4235,CVE-2013-4289,CVE-2013-4289,6,8,,,,,,
CVE-2013-0157,CVE-2013-4289,CVE-2013-4290,CVE-2013-4290,7,9,,,,,,
CVE-2013-0157,CVE-2013-4290,CVE-2013-6053,CVE-2013-6053,8,10,,,,,,
CVE-2013-0157,CVE-2013-6053,CVE-2013-6887,CVE-2013-6887,9,11,,,,,,
CVE-2013-1424,CVE-2013-6887,CVE-2014-0459,CVE-2014-0459,10,18,,,,,,
CVE-2013-1424,CVE-2013-7377,CVE-2014-0749,CVE-2014-0749,#N/A,19,,,,,,
CVE-2013-4235,CVE-2013-7378,CVE-2014-1858,CVE-2014-1858,#N/A,20,,,,,,
CVE-2013-4235,CVE-2013-7380,CVE-2014-1859,CVE-2014-1859,#N/A,21,,,,,,
CVE-2013-4289,CVE-2013-7381,CVE-2014-2893,CVE-2014-2893,#N/A,23,,,,,,
CVE-2013-4290,CVE-2013-7445,CVE-2014-3684,CVE-2014-3684,#N/A,#N/A,,,,,,
CVE-2013-6053,CVE-2014-0177,CVE-2014-5044,CVE-2014-5044,#N/A,28,,,,,,
CVE-2013-6887,CVE-2014-0459,CVE-2014-7933,CVE-2014-7933,11,29,,,,,,
CVE-2013-7377,CVE-2014-0749,CVE-2014-7945,CVE-2014-7945,12,30,,,,,,
CVE-2013-7378,CVE-2014-1858,CVE-2014-7947,CVE-2014-7947,13,31,,,,,,
CVE-2013-7380,CVE-2014-1859,CVE-2014-8541,CVE-2014-8541,14,32,,,,,,
CVE-2013-7381,CVE-2014-2667,CVE-2014-8625,CVE-2014-8625,#N/A,33,,,,,,
CVE-2013-7445,CVE-2014-2893,CVE-2014-9092,CVE-2014-9092,15,34,,,,,,
CVE-2014-0177,CVE-2014-3741,CVE-2014-9114,CVE-2014-9114,#N/A,35,,,,,,
CVE-2014-0459,CVE-2014-3743,CVE-2014-9474,CVE-2014-9474,#N/A,36,,,,,,
CVE-2014-0749,CVE-2014-3744,CVE-2014-9601,CVE-2014-9601,#N/A,37,,,,,,
CVE-2014-1858,CVE-2014-4610,CVE-2014-9620,CVE-2014-9620,#N/A,#N/A,,,,,,
CVE-2014-1859,CVE-2014-5044,CVE-2014-9621,CVE-2014-9621,17,#N/A,,,,,,
CVE-2014-2667,CVE-2014-7933,CVE-2014-9645,CVE-2014-9645,18,38,,,,,,
CVE-2014-2667,CVE-2014-7945,CVE-2014-9653,CVE-2014-9653,19,#N/A,,,,,,
CVE-2014-2667,CVE-2014-7947,CVE-2014-9676,CVE-2014-9676,20,39,,,,,,
CVE-2014-2667,CVE-2014-8541,CVE-2014-9761,CVE-2014-9761,21,40,,,,,,
CVE-2014-2893,CVE-2014-8625,CVE-2014-9911,CVE-2014-9911,22,42,,,,,,
CVE-2014-3741,CVE-2014-9092,CVE-2014-9913,CVE-2014-9913,23,43,,,,,,
CVE-2014-3743,CVE-2014-9114,CVE-2014-9939,CVE-2014-9939,24,44,,,,,,
CVE-2014-3744,CVE-2014-9474,CVE-2014-9984,CVE-2014-9984,25,46,,,,,,
CVE-2014-4610,CVE-2014-9601,CVE-2015-0245,CVE-2015-0245,26,47,,,,,,
CVE-2014-4610,CVE-2014-9645,CVE-2015-1273,CVE-2015-1273,29,48,,,,,,
CVE-2014-4610,CVE-2014-9676,CVE-2015-2305,CVE-2015-2305,31,#N/A,,,,,,
CVE-2014-4610,CVE-2014-9761,CVE-2015-3395,CVE-2015-3395,32,53,,,,,,
CVE-2014-5044,CVE-2014-9900,CVE-2015-3417,CVE-2015-3417,#N/A,54,,,,,,
CVE-2014-5044,CVE-2014-9911,CVE-2015-4844,CVE-2015-4844,33,55,,,,,,
CVE-2014-5044,CVE-2014-9913,CVE-2015-5180,CVE-2015-5180,34,56,,,,,,
CVE-2014-5044,CVE-2014-9939,CVE-2015-5186,CVE-2015-5186,35,57,,,,,,
CVE-2014-5044,CVE-2014-9940,CVE-2015-5203,CVE-2015-5203,#N/A,58,,,,,,
CVE-2014-5044,CVE-2014-9984,CVE-2015-5221,CVE-2015-5221,36,59,,,,,,
CVE-2014-5044,CVE-2015-0245,CVE-2015-5276,CVE-2015-5276,37,60,,,,,,
CVE-2014-5044,CVE-2015-1273,CVE-2015-5297,CVE-2015-5297,38,#N/A,,,,,,
CVE-2014-5044,CVE-2015-1350,CVE-2015-5479,CVE-2015-5479,#N/A,62,,,,,,
CVE-2014-5044,CVE-2015-1872,CVE-2015-5602,CVE-2015-5602,#N/A,63,,,,,,
CVE-2014-5044,CVE-2015-2296,CVE-2015-7313,CVE-2015-7313,#N/A,66,,,,,,
CVE-2014-5044,CVE-2015-2877,CVE-2015-7554,CVE-2015-7554,#N/A,68,,,,,,
CVE-2014-5044,CVE-2015-3395,CVE-2015-7995,CVE-2015-7995,40,69,,,,,,
CVE-2014-5044,CVE-2015-3417,CVE-2015-8239,CVE-2015-8239,41,70,,,,,,
CVE-2014-7933,CVE-2015-4844,CVE-2015-8270,CVE-2015-8270,42,71,,,,,,
CVE-2014-7933,CVE-2015-5180,CVE-2015-8271,CVE-2015-8271,43,72,,,,,,
CVE-2014-7933,CVE-2015-5186,CVE-2015-8272,CVE-2015-8272,44,73,,,,,,
CVE-2014-7933,CVE-2015-5203,CVE-2015-8629,CVE-2015-8629,45,75,,,,,,
CVE-2014-7945,CVE-2015-5221,CVE-2015-8630,CVE-2015-8630,46,76,,,,,,
CVE-2014-7947,CVE-2015-5276,CVE-2015-8631,CVE-2015-8631,47,77,,,,,,
CVE-2014-8541,CVE-2015-5380,CVE-2015-8668,CVE-2015-8668,#N/A,78,,,,,,
CVE-2014-8541,CVE-2015-5479,CVE-2015-8853,CVE-2015-8853,49,80,,,,,,
CVE-2014-8541,CVE-2015-5602,CVE-2015-8865,CVE-2015-8865,50,#N/A,,,,,,
CVE-2014-8541,CVE-2015-6761,CVE-2015-8982,CVE-2015-8982,#N/A,90,,,,,,
CVE-2014-8625,CVE-2015-6820,CVE-2015-8983,CVE-2015-8983,#N/A,91,,,,,,
CVE-2014-9092,CVE-2015-7313,CVE-2015-8984,CVE-2015-8984,51,92,,,,,,
CVE-2014-9114,CVE-2015-7384,CVE-2015-8985,CVE-2015-8985,#N/A,93,,,,,,
CVE-2014-9114,CVE-2015-7554,CVE-2015-9019,CVE-2015-9019,52,95,,,,,,
CVE-2014-9114,CVE-2015-7995,CVE-2015-9099,CVE-2015-9099,53,96,,,,,,
CVE-2014-9114,CVE-2015-8239,CVE-2015-9100,CVE-2015-9100,54,97,,,,,,
CVE-2014-9114,CVE-2015-8270,CVE-2015-9101,CVE-2015-9101,55,98,,,,,,
CVE-2014-9474,CVE-2015-8271,CVE-2015-9262,CVE-2015-9262,56,#N/A,,,,,,
CVE-2014-9601,CVE-2015-8272,CVE-2015-9274,CVE-2015-9274,57,#N/A,,,,,,
CVE-2014-9601,CVE-2015-8553,CVE-2016-0494,CVE-2016-0494,#N/A,99,,,,,,
CVE-2014-9645,CVE-2015-8629,CVE-2016-0634,CVE-2016-0634,58,100,,,,,,
CVE-2014-9676,CVE-2015-8630,CVE-2016-0772,CVE-2016-0772,59,101,,,,,,
CVE-2014-9676,CVE-2015-8631,CVE-2016-1000110,CVE-2016-1000110,60,102,,,,,,
CVE-2014-9676,CVE-2015-8668,CVE-2016-10087,CVE-2016-10087,61,104,,,,,,
CVE-2014-9676,CVE-2015-8839,CVE-2016-10092,CVE-2016-10092,#N/A,106,,,,,,
CVE-2014-9761,CVE-2015-8853,CVE-2016-10093,CVE-2016-10093,62,107,,,,,,
CVE-2014-9761,CVE-2015-8944,CVE-2016-10094,CVE-2016-10094,#N/A,108,,,,,,
CVE-2014-9761,CVE-2015-8952,CVE-2016-10164,CVE-2016-10164,#N/A,#N/A,,,,,,
CVE-2014-9761,CVE-2015-8955,CVE-2016-10165,CVE-2016-10165,#N/A,110,,,,,,
CVE-2014-9761,CVE-2015-8962,CVE-2016-10166,CVE-2016-10166,#N/A,111,,,,,,
CVE-2014-9900,CVE-2015-8963,CVE-2016-10167,CVE-2016-10167,#N/A,112,,,,,,
CVE-2014-9911,CVE-2015-8964,CVE-2016-10168,CVE-2016-10168,#N/A,113,,,,,,
CVE-2014-9913,CVE-2015-8966,CVE-2016-10169,CVE-2016-10169,#N/A,114,,,,,,
CVE-2014-9939,CVE-2015-8967,CVE-2016-10198,CVE-2016-10198,#N/A,117,,,,,,
CVE-2014-9940,CVE-2015-8970,CVE-2016-10199,CVE-2016-10199,#N/A,118,,,,,,
CVE-2014-9984,CVE-2015-8982,CVE-2016-10228,CVE-2016-10228,64,121,,,,,,
CVE-2014-9984,CVE-2015-8983,CVE-2016-10244,CVE-2016-10244,65,122,,,,,,
CVE-2014-9984,CVE-2015-8984,CVE-2016-10248,CVE-2016-10248,66,123,,,,,,
CVE-2014-9984,CVE-2015-8985,CVE-2016-10249,CVE-2016-10249,67,124,,,,,,
CVE-2014-9984,CVE-2015-9016,CVE-2016-10250,CVE-2016-10250,#N/A,#N/A,,,,,,
CVE-2015-0245,CVE-2015-9019,CVE-2016-10251,CVE-2016-10251,68,125,,,,,,
CVE-2015-1273,CVE-2015-9099,CVE-2016-10254,CVE-2016-10254,69,126,,,,,,
CVE-2015-1350,CVE-2015-9100,CVE-2016-10255,CVE-2016-10255,70,127,,,,,,
CVE-2015-1872,CVE-2015-9101,CVE-2016-10266,CVE-2016-10266,71,128,,,,,,
CVE-2015-1872,CVE-2016-0494,CVE-2016-10267,CVE-2016-10267,74,129,,,,,,
CVE-2015-1872,CVE-2016-0634,CVE-2016-10268,CVE-2016-10268,75,130,,,,,,
CVE-2015-1872,CVE-2016-0772,CVE-2016-10269,CVE-2016-10269,76,131,,,,,,
CVE-2015-2296,CVE-2016-1000110,CVE-2016-10271,CVE-2016-10271,77,132,,,,,,
CVE-2015-2877,CVE-2016-10044,CVE-2016-10272,CVE-2016-10272,#N/A,133,,,,,,
CVE-2015-3395,CVE-2016-10087,CVE-2016-10328,CVE-2016-10328,78,134,,,,,,
CVE-2015-3395,CVE-2016-10088,CVE-2016-10371,CVE-2016-10371,#N/A,135,,,,,,
CVE-2015-3395,CVE-2016-10092,CVE-2016-1234,CVE-2016-1234,79,136,,,,,,
CVE-2015-3395,CVE-2016-10093,CVE-2016-1248,CVE-2016-1248,80,#N/A,,,,,,
CVE-2015-3417,CVE-2016-10094,CVE-2016-1252,CVE-2016-1252,81,137,,,,,,
CVE-2015-3417,CVE-2016-10147,CVE-2016-1683,CVE-2016-1683,#N/A,138,,,,,,
CVE-2015-3417,CVE-2016-10165,CVE-2016-1684,CVE-2016-1684,83,139,,,,,,
CVE-2015-3417,CVE-2016-10166,CVE-2016-1841,CVE-2016-1841,84,140,,,,,,
CVE-2015-4844,CVE-2016-10167,CVE-2016-1867,CVE-2016-1867,85,141,,,,,,
CVE-2015-5180,CVE-2016-10168,CVE-2016-1897,CVE-2016-1897,86,#N/A,,,,,,
CVE-2015-5180,CVE-2016-10169,CVE-2016-1898,CVE-2016-1898,87,#N/A,,,,,,
CVE-2015-5180,CVE-2016-10190,CVE-2016-2086,CVE-2016-2086,#N/A,#N/A,,,,,,
CVE-2015-5180,CVE-2016-10192,CVE-2016-2089,CVE-2016-2089,#N/A,142,,,,,,
CVE-2015-5180,CVE-2016-10198,CVE-2016-2090,CVE-2016-2090,88,143,,,,,,
CVE-2015-5186,CVE-2016-10199,CVE-2016-2147,CVE-2016-2147,89,144,,,,,,
CVE-2015-5186,CVE-2016-10200,CVE-2016-2148,CVE-2016-2148,#N/A,145,,,,,,
CVE-2015-5203,CVE-2016-10208,CVE-2016-2177,CVE-2016-2177,#N/A,146,,,,,,
CVE-2015-5221,CVE-2016-10228,CVE-2016-2216,CVE-2016-2216,90,#N/A,,,,,,
CVE-2015-5276,CVE-2016-10244,CVE-2016-2226,CVE-2016-2226,91,147,,,,,,
CVE-2015-5276,CVE-2016-10248,CVE-2016-2326,CVE-2016-2326,92,#N/A,,,,,,
CVE-2015-5276,CVE-2016-10249,CVE-2016-2774,CVE-2016-2774,93,148,,,,,,
CVE-2015-5276,CVE-2016-10251,CVE-2016-2781,CVE-2016-2781,95,149,,,,,,
CVE-2015-5276,CVE-2016-10254,CVE-2016-3062,CVE-2016-3062,96,#N/A,,,,,,
CVE-2015-5276,CVE-2016-10255,CVE-2016-3119,CVE-2016-3119,97,150,,,,,,
CVE-2015-5276,CVE-2016-10266,CVE-2016-3120,CVE-2016-3120,98,151,,,,,,
CVE-2015-5276,CVE-2016-10267,CVE-2016-3186,CVE-2016-3186,99,152,,,,,,
CVE-2015-5276,CVE-2016-10268,CVE-2016-3189,CVE-2016-3189,100,153,,,,,,
CVE-2015-5276,CVE-2016-10269,CVE-2016-3190,CVE-2016-3190,101,154,,,,,,
CVE-2015-5276,CVE-2016-10271,CVE-2016-3616,CVE-2016-3616,102,155,,,,,,
CVE-2015-5276,CVE-2016-10272,CVE-2016-3622,CVE-2016-3622,103,156,,,,,,
CVE-2015-5276,CVE-2016-10328,CVE-2016-3623,CVE-2016-3623,104,157,,,,,,
CVE-2015-5276,CVE-2016-10371,CVE-2016-3624,CVE-2016-3624,105,158,,,,,,
CVE-2015-5380,CVE-2016-1234,CVE-2016-3632,CVE-2016-3632,106,159,,,,,,
CVE-2015-5479,CVE-2016-1252,CVE-2016-3658,CVE-2016-3658,108,160,,,,,,
CVE-2015-5479,CVE-2016-1683,CVE-2016-3706,CVE-2016-3706,109,162,,,,,,
CVE-2015-5479,CVE-2016-1684,CVE-2016-3945,CVE-2016-3945,110,163,,,,,,
CVE-2015-5479,CVE-2016-1841,CVE-2016-3990,CVE-2016-3990,111,164,,,,,,
CVE-2015-5602,CVE-2016-1867,CVE-2016-3991,CVE-2016-3991,112,165,,,,,,
CVE-2015-6761,CVE-2016-2089,CVE-2016-4330,CVE-2016-4330,116,#N/A,,,,,,
CVE-2015-6761,CVE-2016-2090,CVE-2016-4331,CVE-2016-4331,117,#N/A,,,,,,
