Vulnerability ID        Package                                                           Severity          Fix         Vulnerability URL
CVE-2013-4235           login-1:4.2-3.1ubuntu5.3                                          Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235
CVE-2013-4235           passwd-1:4.2-3.1ubuntu5.3                                         Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235
CVE-2015-5180           libc-bin-2.23-0ubuntu10                                           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180
CVE-2015-5180           libc6-2.23-0ubuntu10                                              Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180
CVE-2015-5180           multiarch-support-2.23-0ubuntu10                                  Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180
CVE-2015-8985           libc-bin-2.23-0ubuntu10                                           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985
CVE-2015-8985           libc6-2.23-0ubuntu10                                              Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985
CVE-2015-8985           multiarch-support-2.23-0ubuntu10                                  Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985
CVE-2016-10708          openssh-client-1:7.2p2-4ubuntu2.5                                 Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10708
CVE-2016-10708          openssh-server-1:7.2p2-4ubuntu2.5                                 Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10708
CVE-2016-10708          openssh-sftp-server-1:7.2p2-4ubuntu2.5                            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10708
CVE-2016-2779           libblkid1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libfdisk1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libmount1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libsmartcols1-2.27.1-6ubuntu3.6                                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libuuid1-2.27.1-6ubuntu3.6                                        Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           mount-2.27.1-6ubuntu3.6                                           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           util-linux-2.27.1-6ubuntu3.6                                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2781           coreutils-8.25-2ubuntu3~16.04                                     Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2781
CVE-2016-3189           libbz2-1.0-1.0.6-8                                                Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3189
CVE-2016-4484           libcryptsetup4-2:1.6.6-5ubuntu2.1                                 Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-4484
CVE-2016-5011           libblkid1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libfdisk1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libmount1-2.27.1-6ubuntu3.6                                       Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libsmartcols1-2.27.1-6ubuntu3.6                                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libuuid1-2.27.1-6ubuntu3.6                                        Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           mount-2.27.1-6ubuntu3.6                                           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           util-linux-2.27.1-6ubuntu3.6                                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-8625           libcurl3-gnutls-7.47.0-1ubuntu2.9                                 Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-8625
