Vulnerability ID        Package                                 Severity          Fix         Vulnerability URL
CVE-2005-2541           tar-1.29b-1.1                           Negligible        None        https://security-tracker.debian.org/tracker/CVE-2005-2541
CVE-2007-5686           login-1:4.4-4.1                         Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-5686
CVE-2007-5686           passwd-1:4.4-4.1                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-5686
CVE-2007-6755           libssl1.1-1.1.0f-3+deb9u2               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-6755
CVE-2009-4487           nginx-1.15.5-1~stretch                  Negligible        None        https://security-tracker.debian.org/tracker/CVE-2009-4487
CVE-2010-0928           libssl1.1-1.1.0f-3+deb9u2               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-0928
CVE-2010-4051           libc-bin-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4051           libc6-2.24-11+deb9u3                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4051           multiarch-support-2.24-11+deb9u3        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4052           libc-bin-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
CVE-2010-4052           libc6-2.24-11+deb9u3                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
CVE-2010-4052           multiarch-support-2.24-11+deb9u3        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
CVE-2010-4756           libc-bin-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4756
CVE-2010-4756           libc6-2.24-11+deb9u3                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4756
CVE-2010-4756           multiarch-support-2.24-11+deb9u3        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4756
CVE-2011-3374           apt-1.4.8                               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2011-3374
CVE-2011-3374           libapt-pkg5.0-1.4.8                     Negligible        None        https://security-tracker.debian.org/tracker/CVE-2011-3374
CVE-2011-4116           perl-base-5.24.1-3+deb9u4               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2011-4116
CVE-2013-0340           libexpat1-2.2.0-2+deb9u1                Negligible        None        https://security-tracker.debian.org/tracker/CVE-2013-0340
CVE-2013-4235           login-1:4.4-4.1                         Negligible        None        https://security-tracker.debian.org/tracker/CVE-2013-4235
CVE-2013-4235           passwd-1:4.4-4.1                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2013-4235
CVE-2013-4392           libsystemd0-232-25+deb9u4               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2013-4392
CVE-2013-4392           libudev1-232-25+deb9u4                  Negligible        None        https://security-tracker.debian.org/tracker/CVE-2013-4392
CVE-2014-8130           libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2014-8130
CVE-2015-8985           libc-bin-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2015-8985
CVE-2015-8985           libc6-2.24-11+deb9u3                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2015-8985
CVE-2015-8985           multiarch-support-2.24-11+deb9u3        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2015-8985
CVE-2015-9019           libxslt1.1-1.1.29-2.1                   Negligible        None        https://security-tracker.debian.org/tracker/CVE-2015-9019
CVE-2016-9085           libwebp6-0.5.2-1                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2016-9085
CVE-2017-1000082        libsystemd0-232-25+deb9u4               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-1000082
CVE-2017-1000082        libudev1-232-25+deb9u4                  Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-1000082
CVE-2017-11164          libpcre3-2:8.39-3                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-11164
CVE-2017-16231          libpcre3-2:8.39-3                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-16231
CVE-2017-16232          libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-16232
CVE-2017-17095          libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-17095
CVE-2017-17973          libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-17973
CVE-2017-18018          coreutils-8.26-3                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-18018
CVE-2017-18078          libsystemd0-232-25+deb9u4               Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-18078
CVE-2017-18078          libudev1-232-25+deb9u4                  Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-18078
CVE-2017-5563           libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-5563
CVE-2017-7245           libpcre3-2:8.39-3                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-7245
CVE-2017-7246           libpcre3-2:8.39-3                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-7246
CVE-2017-9117           libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-9117
CVE-2017-9937           libjbig0-2.1-3.1+b2                     Negligible        None        https://security-tracker.debian.org/tracker/CVE-2017-9937
CVE-2018-10126          libtiff5-4.0.8-2+deb9u2                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2018-10126
CVE-2018-14550          libpng16-16-1.6.28-1                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2018-14550
CVE-2018-6829           libgcrypt20-1.7.6-2+deb9u3              Negligible        None        https://security-tracker.debian.org/tracker/CVE-2018-6829
CVE-2018-17000          libtiff5-4.0.8-2+deb9u2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-17000
CVE-2018-17100          libtiff5-4.0.8-2+deb9u2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-17100
CVE-2018-17101          libtiff5-4.0.8-2+deb9u2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-17101
CVE-2018-18557          libtiff5-4.0.8-2+deb9u2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-18557
CVE-2018-18661          libtiff5-4.0.8-2+deb9u2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-18661
CVE-2018-18751          gettext-base-0.19.8.1-2                 Unknown           None        https://security-tracker.debian.org/tracker/CVE-2018-18751
