2018-11-22 00:32:23+0000 [-] [Thread-70456] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] image dequeued for analysis: admin : sha256:a18da859ca673cde5448785444656779976e88d14772734c2da87a5d591b9cf7
2018-11-22 00:32:23+0000 [-] [Thread-70456] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image: ['admin', 'docker.io/bigdatalabteam/hcp-prefreesurfer@sha256:a18da859ca673cde5448785444656779976e88d14772734c2da87a5d591b9cf7', 'docker.io/bigdatalabteam/hcp-prefreesurfer:exec-centos7-fslbuild-centos5-latest']
2018-11-22 00:56:42+0000 [-] [Thread-70456] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image complete: docker.io/bigdatalabteam/hcp-prefreesurfer@sha256:a18da859ca673cde5448785444656779976e88d14772734c2da87a5d591b9cf7
2018-11-22 00:56:50+0000 [-] [Thread-70456] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] Loading image into policy engine: admin 4720b62759f15cd71767b98bfbe2eba7555ec093f3c4137ae49fad119393bd6d
2018-11-22 00:58:01+0000 [-] [Thread-70456] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] analysis complete: admin : sha256:a18da859ca673cde5448785444656779976e88d14772734c2da87a5d591b9cf7

 anchore-cli image vuln bigdatalabteam/hcp-prefreesurfer:exec-centos7-fslbuild-centos5-latest all
Vulnerability ID        Package                                       Severity        Fix                          Vulnerability URL
RHSA-2017:0372          kernel-headers-3.10.0-693.21.1.el7            High            0:4.5.0-15.2.1.el7           https://access.redhat.com/errata/RHSA-2017:0372
RHSA-2018:1062          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.el7             https://access.redhat.com/errata/RHSA-2018:1062
RHSA-2018:1318          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.2.3.el7         https://access.redhat.com/errata/RHSA-2018:1318
RHSA-2018:1629          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.3.2.el7         https://access.redhat.com/errata/RHSA-2018:1629
RHSA-2018:1700          procps-ng-3.3.10-16.el7                       High            0:3.3.10-17.el7_5.2          https://access.redhat.com/errata/RHSA-2018:1700
RHSA-2018:1957          git-1.8.3.1-12.el7_4                          High            0:1.8.3.1-14.el7_5           https://access.redhat.com/errata/RHSA-2018:1957
RHSA-2018:1957          perl-Git-1.8.3.1-12.el7_4                     High            0:1.8.3.1-14.el7_5           https://access.redhat.com/errata/RHSA-2018:1957
RHSA-2018:1965          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.6.3.el7         https://access.redhat.com/errata/RHSA-2018:1965
RHSA-2018:2181          gnupg2-2.0.22-4.el7                           High            0:2.0.22-5.el7_5             https://access.redhat.com/errata/RHSA-2018:2181
RHSA-2018:2285          yum-plugin-fastestmirror-1.1.31-42.el7        High            0:1.1.31-46.el7_5            https://access.redhat.com/errata/RHSA-2018:2285
RHSA-2018:2384          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.11.6.el7        https://access.redhat.com/errata/RHSA-2018:2384
RHSA-2018:2570          bind-license-9.9.4-51.el7_4.2                 High            32:9.9.4-61.el7_5.1          https://access.redhat.com/errata/RHSA-2018:2570
RHSA-2018:2748          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-862.14.4.el7        https://access.redhat.com/errata/RHSA-2018:2748
RHSA-2018:3083          kernel-headers-3.10.0-693.21.1.el7            High            0:3.10.0-957.el7             https://access.redhat.com/errata/RHSA-2018:3083
RHSA-2018:3408          git-1.8.3.1-12.el7_4                          High            0:1.8.3.1-20.el7             https://access.redhat.com/errata/RHSA-2018:3408
RHSA-2018:3408          perl-Git-1.8.3.1-12.el7_4                     High            0:1.8.3.1-20.el7             https://access.redhat.com/errata/RHSA-2018:3408
CVE-2014-1858           numpy-1.7.1                                   Low             None                         https://nvd.nist.gov/vuln/detail/CVE-2014-1858
RHSA-2018:0849          libgcc-4.8.5-16.el7_4.2                       Low             0:4.8.5-28.el7               https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0849          libgfortran-4.8.5-16.el7_4.2                  Low             0:4.8.5-28.el7               https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0849          libgomp-4.8.5-16.el7_4.2                      Low             0:4.8.5-28.el7               https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0849          libquadmath-4.8.5-16.el7_4.2                  Low             0:4.8.5-28.el7               https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0849          libstdc++-4.8.5-16.el7_4.2                    Low             0:4.8.5-28.el7               https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0980          openssh-7.4p1-13.el7_4                        Low             0:7.4p1-16.el7               https://access.redhat.com/errata/RHSA-2018:0980
RHSA-2018:0980          openssh-clients-7.4p1-13.el7_4                Low             0:7.4p1-16.el7               https://access.redhat.com/errata/RHSA-2018:0980
RHSA-2018:3032          binutils-2.25.1-32.base.el7_4.2               Low             0:2.27-34.base.el7           https://access.redhat.com/errata/RHSA-2018:3032
RHSA-2018:3059          libX11-1.6.5-1.el7                            Low             0:1.6.5-2.el7                https://access.redhat.com/errata/RHSA-2018:3059
RHSA-2018:3059          libX11-common-1.6.5-1.el7                     Low             0:1.6.5-2.el7                https://access.redhat.com/errata/RHSA-2018:3059
RHSA-2018:3059          libxcb-1.12-1.el7                             Low             0:1.13-1.el7                 https://access.redhat.com/errata/RHSA-2018:3059
RHSA-2018:3071          krb5-devel-1.15.1-8.el7                       Low             0:1.15.1-34.el7              https://access.redhat.com/errata/RHSA-2018:3071
RHSA-2018:3071          krb5-libs-1.15.1-8.el7                        Low             0:1.15.1-34.el7              https://access.redhat.com/errata/RHSA-2018:3071
RHSA-2018:3071          libkadm5-1.15.1-8.el7                         Low             0:1.15.1-34.el7              https://access.redhat.com/errata/RHSA-2018:3071
RHSA-2018:3249          setup-2.8.71-7.el7                            Low             0:2.8.71-10.el7              https://access.redhat.com/errata/RHSA-2018:3249
RHSA-2018:0666          krb5-devel-1.15.1-8.el7                       Medium          0:1.15.1-18.el7              https://access.redhat.com/errata/RHSA-2018:0666
