cmcarthur@docker-engine-one:~$ anchore-cli image vuln docker.io/pihole/pihole all
Vulnerability ID        Package                                          Severity          Fix         Vulnerability URL
CVE-2017-14062          libidn11-1.33-1                                  High              None        https://security-tracker.debian.org/tracker/CVE-2017-14062
CVE-2017-9120           php7.0-cgi-7.0.30-0+deb9u1                       High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-cli-7.0.30-0+deb9u1                       High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-common-7.0.30-0+deb9u1                    High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-json-7.0.30-0+deb9u1                      High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-opcache-7.0.30-0+deb9u1                   High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-readline-7.0.30-0+deb9u1                  High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2017-9120           php7.0-sqlite3-7.0.30-0+deb9u1                   High              None        https://security-tracker.debian.org/tracker/CVE-2017-9120
CVE-2011-3389           libgnutls30-3.5.8-5+deb9u3                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2011-3389
CVE-2017-9118           php7.0-cgi-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-cli-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-common-7.0.30-0+deb9u1                    Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-json-7.0.30-0+deb9u1                      Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-opcache-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-readline-7.0.30-0+deb9u1                  Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2017-9118           php7.0-sqlite3-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2017-9118
CVE-2018-14851          php7.0-cgi-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-cli-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-common-7.0.30-0+deb9u1                    Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-json-7.0.30-0+deb9u1                      Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-opcache-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-readline-7.0.30-0+deb9u1                  Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14851          php7.0-sqlite3-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14851
CVE-2018-14883          php7.0-cgi-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-cli-7.0.30-0+deb9u1                       Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-common-7.0.30-0+deb9u1                    Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-json-7.0.30-0+deb9u1                      Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-opcache-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-readline-7.0.30-0+deb9u1                  Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2018-14883          php7.0-sqlite3-7.0.30-0+deb9u1                   Medium            None        https://security-tracker.debian.org/tracker/CVE-2018-14883
CVE-2004-0971           krb5-locales-1.15-1+deb9u1                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2004-0971
CVE-2004-0971           libgssapi-krb5-2-1.15-1+deb9u1                   Negligible        None        https://security-tracker.debian.org/tracker/CVE-2004-0971
CVE-2004-0971           libk5crypto3-1.15-1+deb9u1                       Negligible        None        https://security-tracker.debian.org/tracker/CVE-2004-0971
CVE-2004-0971           libkrb5-3-1.15-1+deb9u1                          Negligible        None        https://security-tracker.debian.org/tracker/CVE-2004-0971
CVE-2004-0971           libkrb5support0-1.15-1+deb9u1                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2004-0971
CVE-2005-1119           sudo-1.8.19p1-2.1                                Negligible        None        https://security-tracker.debian.org/tracker/CVE-2005-1119
CVE-2005-2541           tar-1.29b-1.1                                    Negligible        None        https://security-tracker.debian.org/tracker/CVE-2005-2541
CVE-2007-5686           login-1:4.4-4.1                                  Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-5686
CVE-2007-5686           passwd-1:4.4-4.1                                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-5686
CVE-2007-6755           libssl1.1-1.1.0f-3+deb9u2                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-6755
CVE-2007-6755           openssl-1.1.0f-3+deb9u2                          Negligible        None        https://security-tracker.debian.org/tracker/CVE-2007-6755
CVE-2010-0928           libssl1.1-1.1.0f-3+deb9u2                        Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-0928
CVE-2010-0928           openssl-1.1.0f-3+deb9u2                          Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-0928
CVE-2010-4051           libc-bin-2.24-11+deb9u3                          Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4051           libc6-2.24-11+deb9u3                             Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4051           multiarch-support-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4051
CVE-2010-4052           libc-bin-2.24-11+deb9u3                          Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
CVE-2010-4052           libc6-2.24-11+deb9u3                             Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
CVE-2010-4052           multiarch-support-2.24-11+deb9u3                 Negligible        None        https://security-tracker.debian.org/tracker/CVE-2010-4052
