[Nov 28 23:43:54] DEBUG [dreamy_nightingale@172-17-0-1] Executing... rpm -qa --queryformat "%{NAME} %{EPOCHNUM} %{VERSION} %{RELEASE} %{ARCH}"
[Nov 28 23:44:01] DEBUG [dreamy_nightingale@172-17-0-1] execResult: servername: dreamy_nightingale@172-17-0-1
  cmd: /usr/bin/ssh -tt -o StrictHostKeyChecking=yes -o LogLevel=quiet -o ConnectionAttempts=3 -o ConnectTimeout=10 -o ControlMaster=auto -o ControlPath=/root/.vuls/controlmaster-%r-172-17-0-1.%p -o Controlpersist=10m cmcarthur@172.17.0.1 -p 22 stty cols 1000; docker exec --user 0 ab1d17c4a270 /bin/sh -c 'rpm -qa --queryformat "%{NAME} %{EPOCHNUM} %{VERSION} %{RELEASE} %{ARCH}
"'

dreamy_nightingale@172-17-0-1 (centos7.4.1708) on 172-17-0-1
============================================================
Total: 344 (High:29 Medium:121 Low:193 ?:1), 18/344 Fixed, 171 installed, 82 updatable, 18 cves with exploit

+------------------+------+----------+---------+---------------------------------------------------+---------+
|      CVE-ID      | CVSS |  ATTACK  |  FIXED  |                        NVD                        | EXPLOIT |
+------------------+------+----------+---------+---------------------------------------------------+---------+
| CVE-2016-5131    |  8.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-5131    | false   |
| CVE-2017-15412   |  8.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15412   | false   |
| CVE-2017-5130    |  8.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5130    | false   |
| CVE-2018-10897   |  8.8 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10897   | false   |
| CVE-2016-2779    |  8.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2779    | false   |
| CVE-2016-2781    |  8.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2781    | false   |
| CVE-2017-0663    |  8.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-0663    | false   |
| CVE-2017-1000158 |  8.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000158 | false   |
| CVE-2017-16997   |  7.8 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16997   | false   |
| CVE-2017-6891    |  7.8 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6891    | false   |
| CVE-2018-11236   |  7.8 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11236   | false   |
| CVE-2017-16931   |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16931   | false   |
| CVE-2017-16932   |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16932   | false   |
| CVE-2017-6004    |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6004    | false   |
| CVE-2017-7186    |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7186    | false   |
| CVE-2017-8804    |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8804    | false   |
| CVE-2017-9047    |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9047    | false   |
| CVE-2018-12020   |  7.5 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12020   | false   |
| CVE-2018-5740    |  7.5 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5740    | false   |
| CVE-2018-6003    |  7.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6003    | false   |
| CVE-2017-7500    |  7.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7500    | false   |
| CVE-2017-7501    |  7.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7501    | false   |
| CVE-2018-1122    |  7.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1122    | true    |
| CVE-2018-1124    |  7.3 |    Local |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1124    | true    |
| CVE-2016-4484    |  7.2 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4484    | false   |
| CVE-2018-0494    |  7.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0494    | true    |
| CVE-2017-10685   |  7.0 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10685   | false   |
| CVE-2017-15670   |  7.0 |    Local |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15670   | false   |
| CVE-2017-6965    |  7.0 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6965    | false   |
| CVE-2017-6966    |  7.0 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6966    | false   |
| CVE-2018-1000001 |  7.0 |    Local |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000001 | true    |
| CVE-2018-1000035 |  7.0 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000035 | false   |
| CVE-2015-2716    |  6.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-2716    | false   |
| CVE-2015-8385    |  6.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-8385    | false   |
| CVE-2016-1951    |  6.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-1951    | false   |
| CVE-2016-2226    |  6.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2226    | true    |
| CVE-2016-3191    |  6.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-3191    | false   |
| CVE-2016-9318    |  6.7 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9318    | false   |
| CVE-2017-18078   |  6.7 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18078   | true    |
| CVE-2017-11368   |  6.5 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11368   | false   |
| CVE-2017-7000    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7000    | false   |
| CVE-2017-7375    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7375    | false   |
| CVE-2017-7562    |  6.5 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7562    | false   |
| CVE-2017-9049    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9049    | false   |
| CVE-2017-9050    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9050    | false   |
| CVE-2017-9233    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9233    | false   |
| CVE-2018-0739    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0739    | false   |
| CVE-2018-1000122 |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000122 | false   |
| CVE-2018-1061    |  6.5 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1061    | false   |
| CVE-2014-9114    |  6.2 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-9114    | false   |
| CVE-2017-7526    |  6.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7526    | false   |
| CVE-2017-7781    |  6.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7781    | false   |
| CVE-2015-7696    |  6.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-7696    | false   |
| CVE-2015-7697    |  6.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-7697    | false   |
| CVE-2016-4489    |  5.9 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4489    | false   |
| CVE-2016-4490    |  5.9 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4490    | false   |
| CVE-2016-9574    |  5.9 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9574    | false   |
| CVE-2016-9586    |  5.9 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9586    | false   |
| CVE-2017-3736    |  5.9 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-3736    | false   |
| CVE-2017-3737    |  5.9 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-3737    | false   |
| CVE-2017-3738    |  5.9 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-3738    | false   |
| CVE-2013-1665    |  5.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-1665    | false   |
| CVE-2017-11671   |  5.6 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11671   | false   |
| CVE-2018-11237   |  5.6 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11237   | true    |
| CVE-2017-15804   |  5.5 |    Local |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15804   | false   |
| CVE-2017-5969    |  5.5 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5969    | false   |
| CVE-2016-7943    |  5.4 | Adjacent | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-7943    | false   |
| CVE-2017-8872    |  5.4 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8872    | false   |
| CVE-2018-1000120 |  5.4 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000120 | false   |
| CVE-2018-1000301 |  5.4 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000301 | false   |
| CVE-2016-4487    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4487    | false   |
| CVE-2016-4488    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4488    | false   |
| CVE-2016-4492    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4492    | false   |
| CVE-2016-4493    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4493    | false   |
| CVE-2016-4658    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4658    | false   |
| CVE-2016-6252    |  5.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-6252    | false   |
| CVE-2016-8615    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8615    | false   |
| CVE-2016-8618    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8618    | false   |
| CVE-2016-8619    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8619    | false   |
| CVE-2016-8621    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8621    | false   |
| CVE-2016-8624    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8624    | false   |
| CVE-2016-8625    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-8625    | false   |
| CVE-2017-10684   |  5.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10684   | false   |
| CVE-2017-3735    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-3735    | false   |
| CVE-2017-6508    |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6508    | false   |
| CVE-2018-1000121 |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000121 | false   |
| CVE-2018-12910   |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12910   | false   |
| CVE-2018-13988   |  5.3 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-13988   | false   |
| CVE-2018-6485    |  5.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6485    | false   |
| CVE-2014-3564    |  5.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-3564    | false   |
| CVE-2015-7036    |  5.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-7036    | false   |
| CVE-2016-4472    |  5.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4472    | false   |
| CVE-2016-6321    |  5.1 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-6321    | false   |
| CVE-2017-18267   |  5.1 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18267   | false   |
| CVE-2018-0495    |  5.1 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0495    | false   |
| CVE-2013-7040    |  5.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-7040    | false   |
| CVE-2014-4617    |  5.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-4617    | false   |
| CVE-2015-1546    |  5.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-1546    | false   |
| CVE-2015-2613    |  5.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-2613    | false   |
| CVE-2015-8380    |  5.0 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-8380    | false   |
| CVE-2016-1234    |  4.8 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-1234    | false   |
| CVE-2017-1000100 |  4.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000100 | false   |
| CVE-2017-9048    |  4.8 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9048    | false   |
| CVE-2018-1113    |  4.8 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1113    | false   |
| CVE-2018-1126    |  4.8 |    Local |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1126    | false   |
| CVE-2018-12384   |  4.8 |  Network |   Fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12384   | false   |
| CVE-2018-19211   |  4.7 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19211   | false   |
