[Nov 28 23:43:57] DEBUG [eager_aryabhata@172-17-0-1] Executing... dpkg-query -W -f="\${binary:Package},\${db:Status-Abbrev},\${Version},\${Source},\${source:Version}\n"
[Nov 28 23:43:59] DEBUG [eager_aryabhata@172-17-0-1] execResult: servername: eager_aryabhata@172-17-0-1
  cmd: /usr/bin/ssh -tt -o StrictHostKeyChecking=yes -o LogLevel=quiet -o ConnectionAttempts=3 -o ConnectTimeout=10 -o ControlMaster=auto -o ControlPath=/root/.vuls/controlmaster-%r-172-17-0-1.%p -o Controlpersist=10m cmcarthur@172.17.0.1 -p 22 stty cols 1000; docker exec --user 0 dfe4c5f7871e /bin/sh -c 'dpkg-query -W -f="\${binary:Package},\${db:Status-Abbrev},\${Version},\${Source},\${source:Version}\n"'
  
  eager_aryabhata@172-17-0-1 (ubuntu14.04) on 172-17-0-1
======================================================
Total: 713 (High:4 Medium:388 Low:254 ?:67), 0/713 Fixed, 537 installed, 35 cves with exploit

+------------------+------+----------+---------+---------------------------------------------------+---------+
|      CVE-ID      | CVSS |  ATTACK  |  FIXED  |                        NVD                        | EXPLOIT |
+------------------+------+----------+---------+---------------------------------------------------+---------+
| CVE-2016-1252    |  8.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-1252    | true    |
| CVE-2017-1000367 |  8.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2017-1000367 | true    |
| CVE-2017-2885    |  8.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2017-2885    | false   |
| CVE-2018-1000001 |  8.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2018-1000001 | true    |
| CVE-2013-1424    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-1424    | false   |
| CVE-2013-4289    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-4289    | false   |
| CVE-2013-4290    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-4290    | false   |
| CVE-2013-6053    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-6053    | false   |
| CVE-2013-6887    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-6887    | false   |
| CVE-2014-0749    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-0749    | true    |
| CVE-2014-3684    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-3684    | false   |
| CVE-2014-7933    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2014-7933    | false   |
| CVE-2014-7945    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-7945    | false   |
| CVE-2014-7947    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-7947    | false   |
| CVE-2014-9676    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-9676    | false   |
| CVE-2014-9911    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2014-9911    | false   |
| CVE-2014-9984    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-9984    | false   |
| CVE-2015-0245    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2015-0245    | false   |
| CVE-2015-1273    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-1273    | false   |
| CVE-2015-2305    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-2305    | false   |
| CVE-2015-4844    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2015-4844    | false   |
| CVE-2015-5297    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5297    | false   |
| CVE-2015-5479    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5479    | false   |
| CVE-2015-5602    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5602    | true    |
| CVE-2015-7554    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2015-7554    | false   |
| CVE-2015-8270    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2015-8270    | false   |
